Tweet,loc,State
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,NYC 🗽🌃🚕🍎🍏,New York
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,Brazil,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,USA,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Atlanta, Ga",Georgia
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,Beverly Hills,California
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,East Coast,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Charlotte, NC",North Carolina
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,76034,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Cotuit, MA",Massachusettes
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Ridgewood, NJ",New Jersey
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Pennsylvania, USA",Pennsylvania
